,keywords,Frequency
0,across,2.0
1,active,1.4151372233391522
2,accommodation,0.9490132442884474
3,account,0.9490132442884474
4,action,0.9490132442884474
5,academic,0.4745066221442237
6,accepting,0.4745066221442237
7,access,0.4745066221442237
8,accessibility,0.4745066221442237
9,accessible,0.4745066221442237
