Tweet Id,text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1.29939E+18,"Reminder: cuLearn services will be unavailable from 12:00 p.m. Sat, Aug 29 to 4:00 p.m. on Sun, Aug 30 for software upgrades.",Carleton University,Carleton_U,2020-08-28T17:03:53.000Z,Fri Aug 28 17:03:53 +0000 2020,9,4,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,,0,0,,,,,
1.29898E+18,RT @ONtrainandstudy : [1/2] Maria DeRosa from @Carleton_U is using nanotechnology to make a smart fertilizer that delivers its nutrients only when the crop needs it. #InventorsWeek https://t.co/kDt54gqPH2,Carleton University,Carleton_U,2020-08-27T13:47:18.000Z,Thu Aug 27 13:47:18 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/Egblc2gXsAAiiY3.png,,,
1.29897E+18,"RT @CUnewsroom : .@Carleton_U COVID-19 Rapid Research Response Grant recipient Prof. Paulo Garcia and his team are researching how social wearables, such as smart watches and fitness trackers, could crowdsource health data and enhance our pandemic response. 

Read more: https://t.co/X93ofVJksi https://t.co/aSR0JmgqAv",Carleton University,Carleton_U,2020-08-27T13:13:27.000Z,Thu Aug 27 13:13:27 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://newsroom.carleton.ca/story/crowdsourcing-social-wearables/ ,0,1,photo,https://pbs.twimg.com/media/EgbfleaWkAAX2DL.jpg,,,
1.29865E+18,"RT @CU_CampusCard : How do I access my Dining Dollars as a Residence student?

Any money you receive with your Residence Meal Plan will automatically be put on your card. You get half the money in the fall, and the other half in the winter. This money can only be spent at Dining Services locations.",Carleton University,Carleton_U,2020-08-26T16:13:52.000Z,Wed Aug 26 16:13:52 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1.29865E+18,"Earlier this summer Joanna Pozzulo joined the Carleton Pathway Podcast to talk about this new stream and other ways Psychology students can get involved at #CarletonU. 
https://t.co/U6Ytl2lpWV https://t.co/q2O1kdSBpt",Carleton University,Carleton_U,2020-08-26T16:13:35.000Z,Wed Aug 26 16:13:35 +0000 2020,9,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://students.carleton.ca/2020/06/inside-psychology-with-prof-joanna-pozzulo/ https://twitter.com/CU_FASS/status/1298643943396188164 ,1,0,,,,,
1.29826E+18,"Join the Carleton community August 31 to September 18, 2020, as the Ask Me Campaign launches digitally for the first time. Help virtually welcome new and returning students to Carleton by downloading your digital Ask Me buttons or profile banners.
https://t.co/LrA0xhJ9EG https://t.co/cSoYfaWe1Y",Carleton University,Carleton_U,2020-08-25T14:20:04.000Z,Tue Aug 25 14:20:04 +0000 2020,16,3,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,http://carleton.ca/askme ,0,0,photo,https://pbs.twimg.com/media/EgRcHlCUcBMxRM_.jpg,,,
1.29825E+18,"RT @CU_President : I hope everyone had a great summer, and that we are all rested and ready for the new academic year! It will be an unusual one, but I am fully confident that our @Carleton_U community will continue to rise to the challenge. Please see my full update here:
https://t.co/RLmpxArYVy",Carleton University,Carleton_U,2020-08-25T13:06:48.000Z,Tue Aug 25 13:06:48 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://newsroom.carleton.ca/2020/challenges-opportunities-disrupted-times/ ,0,1,,,,,
1.29798E+18,"RT @CUnewsroom : .@CarletonBiology Prof. Alex Wong, along with LED maker Arkalumen and @CHEO, is part of a unique research initiative on decontaminating medical face masks exposed to COVID-19 with ultraviolet light technology. 

Read more about this fascinating project: https://t.co/R0N99dSCxs https://t.co/dYMI4BYkt2",Carleton University,Carleton_U,2020-08-24T19:37:23.000Z,Mon Aug 24 19:37:23 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://newsroom.carleton.ca/story/reusable-face-masks-covid-19/ ,0,2,photo,https://pbs.twimg.com/media/EgMM-8RWoAEStHZ.jpg,,,
1.29798E+18,"RT @CU_MechAero : Congrats to graduate student, Rafaela Aguiar, who has recently published a paper with Nature Research and Scientific Reports on her research on ""Silane-terminated Polyurethanes"". @nature @SciReports

Look Here: https://t.co/2ONPzyGaox https://t.co/r9SoZYr4Rz",Carleton University,Carleton_U,2020-08-24T19:36:55.000Z,Mon Aug 24 19:36:55 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://linktr.ee/cumechaero ,0,2,photo,https://pbs.twimg.com/media/EgMJmxxX0AItvpJ.jpg,,,
1.29791E+18,"The Campus Card Office is now offering virtual queuing and appointment options for fall 2020!
You do not need to join the line if you are renewing your U-Pass or if you are a @CarletonRes student who applied for your Campus Card by Friday, August 14. 
https://t.co/JgGV7TnUgL",Carleton University,Carleton_U,2020-08-24T15:03:31.000Z,Mon Aug 24 15:03:31 +0000 2020,2,4,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/the-campus-card-office-has-virtual-lineups/ ,0,1,,,,,
